text,label
I'm so tired of this!,frustration
This is so frustrating!,frustration
I just can't deal with this anymore!,frustration
I'm really happy with how things turned out!,happiness
This is the best day ever!,happiness
I'm so excited and full of energy today!,happiness 
Why is everything going wrong?,frustration
I just received great news!,happiness
"This is the third time Ive had to call about this issue!",frustration
"I cant believe this is happening again!",frustration
"Why is it taking so long to fix this?",frustration
"Im done with this service!",frustration
"Ive been on hold for 20 minutes, and no one is helping me.",frustration
Why was my order delayed without any notification?,frustration
"This is the third time Ive reported this issue, and its still not resolved!",frustration
Your website keeps crashing whenever I try to check out.,frustration
I am really disappointed with the service I received today.,frustration
Why did I get charged twice for the same item?,frustration
I cant believe I have to go through this again!,frustration
No one seems to have a solution to my problem.,frustration
I need this fixed now; its affecting my work.,frustration
Thank you so much for your quick help!,happiness
This is taking way too long; I'm really annoyed.,frustration
I'm so pleased with the service!,happiness
Why is this issue still not resolved?,frustration
The product I received is completely different from what I ordered.,frustration
Thank you so much for resolving my issue so quickly!,happiness
Im so happy with the service I received today!,happiness
The product is exactly as described and I love it!,happiness
Youve made this such a smooth and pleasant experience.,happiness
Thank you for going above and beyond for me!,happiness
The delivery arrived earlier than expected and Im thrilled.,happiness
This is why I always choose your companyâ€”great service!,happiness
Everything worked perfectly. I couldnt ask for more.,happiness
I appreciate how easy it was to set this up with your help.,frustration
Im really impressed by how efficiently you handled my request.,happiness
Thank you so much for your help!,happiness
This is exactly what I needed Im so happy!,happiness
I really appreciate your quick response!,happiness
You made my day with this solution thank you!,happiness
Im so glad I reached out to you everything is perfect now!,happiness
I couldnt have asked for better service Im thrilled!,happiness
This is fantastic thank you for resolving this so quickly!,happiness
Im so happy with the outcome thanks again!,happiness
Youve been amazing I feel much better now!,happiness
Im really satisfied with the service keep up the great work!,happiness
Im really pleased with how quickly this was handled!,happiness
Wow that was a great experience thank you so much!,happiness
This is such a relief thank you for taking care of everything!,happiness
Im so grateful for your help its exactly what I wanted!,happiness
You really went above and beyond Im very happy with this!,happiness
Im feeling much better now that this is all sorted!,happiness
Thank you for making this so easy I appreciate it!,happiness
This is perfect! Im so glad I contacted you.,happiness
Youve really exceeded my expectations Im so happy!,happiness
I couldnt be happier with how everything was resolved!,happiness
This is really frustrating Ive been waiting for too long.,frustration
Im not happy with the way this has been handled.,frustration
Ive been dealing with this issue for far too long.,frustration
This is completely unacceptable I expected better service.,frustration
I dont understand why this is taking so long to resolve.,frustration
Im really disappointed with the lack of support.,frustration
This is causing me so much inconvenience!,frustration
I feel like Im not getting the help I need here.,frustration
Ive explained this multiple times why is it still not fixed?,frustration
This situation is getting out of hand Im not happy at all.,frustration
Im at my wits end with this issue!,frustration
Im getting nowhere with this its really annoying.,frustration
Why is this so complicated? It should be much easier.,frustration
Im really upset that this wasnt resolved sooner.,frustration
This is just too much I cant believe Im still dealing with this.,frustration
I feel like no one is listening to my concerns.,frustration
Im really frustrated this shouldve been sorted out already.,frustration
Ive been passed around to so many people and nothings been fixed!,frustration
Its really disappointing that I have to keep repeating myself.,frustration
I feel like Im not getting the answers I need this is so irritating.,frustration
